province_id,province_name,bws_raw,baseline_stress_score,bwd_raw,baseline_depletion_score,gtd_raw,groundwater_decline_score,iav_raw,interannual_variability_score,sev_raw,seasonal_variability_score,drr_raw,drought_risk_score,rfr_raw,riverine_flood_risk_score,cfr_raw,coastal_flood_risk_score,ucw_raw,untreated_wastewater_score,cep_raw,coastal_eutrophication_score,udw_raw,unimproved_drinking_water_score,usa_raw,unimproved_sanitation_score,rri_raw,reputational_risk_score,combined_risk_score
TUR.10_1,Artvin,0.0476072409824884,0.04503059973853625,0.03039466568181295,0.5975251844173721,0.14783672073848234,1.073919,0.23208708387020632,0.9283483354808253,0.3494510958438434,1.0483532875315302,0.521233029573269,2.606165147866345,0.009469664840534063,3.4440612690508954,0.0,0.0,0.6172,2.05733333333,-16.250719125379145,0.9691045049942542,0.010306317616822377,0.023034206012943686,0.11352120713226059,3.169444436097775,61.0,3.0666666666699998,0.8957036756403001
TUR.11_1,Aydin,0.9239966418912209,4.196367023512491,0.4899053849473498,2.959318428928446,0.14783800000000002,1.073919,0.35223133247845223,1.408925329913809,0.31630330648820704,0.948909919464621,0.627097374871837,3.1354868743591857,0.0018867861367790218,1.2802072162351554,5.819460683633894e-07,0.05454067546134722,0.6172,2.0573333333299995,2.3305407045113156,3.3066532816163408,0.006716987331238608,0.0,0.05821279834807915,2.2113698443688827,61.00000000000001,3.06666666667,2.4199260098845934
TUR.12_1,Balikesir,0.5903315764127475,3.480767454667282,0.31426287866425123,2.2526027778566506,0.14652676496400022,1.073919,0.3757578691715678,1.5030314766862711,0.38690931307772913,1.1607279392331875,0.5774170951117311,2.8870854755586555,0.001844642266295906,1.3391123840280519,1.1000810971276957e-05,0.9830697446979328,0.6172000000000001,2.05733333333,0.8896471043002726,2.7946498845556644,0.008294786643133862,0.0,0.044707036304304656,1.8000201124837283,60.99999999999999,3.06666666667,2.14142185551588
TUR.13_1,Bartın,0.1505683452590043,1.5904184968488848,0.0688352403078002,1.094176201539001,0.00995253,,0.2572309477372884,1.0289237909491535,0.4385405209947801,1.3156215629843404,0.5438880989796819,2.71944049489841,0.00984057727785,3.49415221414,0.0,0.0,0.6172,2.05733333333,-4.545539116470831,1.09089217670583,0.0055159312498799995,0.0,0.06799873194140002,2.44357974796,61.0,3.06666666667,1.4899720145687374
TUR.14_1,Batman,0.36696915291903126,2.276580597667631,0.18068189072260255,1.421066079274307,-0.013921199999999998,,0.38201647837012015,1.5280659134804806,0.5147142500801785,1.5441427502405354,0.5902001241139371,2.951000620569685,0.00269645135428169,1.6703352619672251,0.0,0.0,0.6172,2.0573333333299995,0.22119270615446546,2.2248765921210425,0.005227852137490534,0.0,0.07086200808883042,2.457045287036107,61.0,3.06666666667,1.7996214562355
TUR.15_1,Bayburt,0.048158184194913654,0.029329376701512037,0.03204786597863062,0.6107260137450392,0.147838,1.073919,0.2359964959952924,0.9439859839811696,0.35076734834514284,1.0523020450354286,0.5115698224893971,2.557849112446985,0.009293966236503347,3.4108069257671922,0.0,0.0,0.6172,2.05733333333,-16.542832719429892,0.9609473758611684,0.010302508802453496,0.0,0.11513528856109222,3.201235310737288,61.0,3.06666666667,0.892625174979293
TUR.16_1,Bilecik,0.2615453482642929,1.397138112063138,0.13824116796966585,1.2627268420081277,0.020162678676571122,1.073919,0.3717873166804439,1.4871492667217756,0.4133494540982779,1.240048362294834,0.583361519956078,2.9168075997803897,0.005317435563508086,2.290838339497117,2.874871779406776e-07,0.025420272336547235,0.6172,2.0573333333299995,0.9374601316465265,2.4448187571880964,0.006333910113811902,0.0,0.061466369239341234,2.261074360136606,60.99999999999998,3.0666666666699998,1.4486036539604372
TUR.17_1,Bingöl,0.15717281106965814,1.106039204301708,0.08043487530446669,0.9125619789550603,-0.007195047139967675,1.073919,0.5265084427766428,2.1060337711065715,0.6161465583716247,1.848439675114874,0.46709195859533564,2.3354597929766783,0.0025971646486809574,1.64730899653604,0.0,0.0,0.6172,2.05733333333,0.1643186669641435,2.1906013018851405,0.004158377850617941,0.0,0.07975795666478244,2.658248399184706,61.0,3.0666666666700007,1.3922417181573585
TUR.18_1,Bitlis,0.4710801723928958,3.0203701690594804,0.26765467664478565,2.010937070233531,-0.011823792163297403,,0.38650973150170725,1.546038926006829,0.504800686017018,1.5144020580510538,0.49743378952976186,2.487168947648809,0.010364484456477936,2.7267402952856576,0.0,0.0,0.6171999999999999,2.05733333333,-0.9981512627505578,1.8214558015907316,0.00527081129694218,0.0,0.07046036008454214,2.487160685257611,61.0,3.06666666667,2.1699196085682853
TUR.19_1,Bolu,0.12095181652630564,1.1893383497294063,0.05768932776064348,0.9759366834647154,-0.002974187918629192,,0.3196115161383841,1.2784460645535365,0.4361394997493949,1.3084184992481847,0.5754714526889034,2.8773572634445173,0.006351092819906378,2.693742724589385,0.0,0.0,0.6172000000000001,2.05733333333,-2.1579233568891634,1.6349707282534465,0.0057291852444601105,0.0,0.06639422577834246,2.396954557078742,61.00000000000001,3.06666666667,1.3586907526481986
TUR.1_1,Adana,0.9827028421017534,4.221244922833547,0.43046888017789015,2.71723904420103,0.09101904355787954,1.073919,0.4308857228462215,1.723542891384886,0.6321977212891967,1.89659316386759,0.5950244479505407,2.9751222397527037,0.003263333195041212,1.3368804548348094,5.008986882774489e-06,0.10505875529980059,0.6172,2.05733333333,1.9466719325102742,3.2345176533864706,0.007075926762788045,0.0,0.05498203170627341,2.1159854615315714,61.0,3.06666666667,2.5301528781346523
