province_id,province_name,bws_raw,baseline_stress_score,sev_raw,seasonal_variability_score,iav_raw,interannual_variability_score,gtd_raw,groundwater_stress_score,drr_raw,drought_hazard_score,rfr_raw,flood_hazard_score,combined_risk_score
TUR.10_1,Artvin,0.0476072409824884,0.04503059973853625,0.3494510958438434,1.0483532875315302,0.23208708387020632,0.9283483354808253,0.14783672073848234,1.073919,0.521233029573269,2.606165147866345,0.009469664840534063,3.4440612690508954,1.0178120817450504
TUR.11_1,Aydin,0.9239966418912209,4.196367023512491,0.31630330648820704,0.948909919464621,0.35223133247845223,1.408925329913809,0.14783800000000002,1.073919,0.627097374871837,3.1354868743591857,0.0018867861367790218,1.2802072162351554,2.0487713238848766
TUR.12_1,Balikesir,0.5903315764127475,3.480767454667282,0.38690931307772913,1.1607279392331875,0.3757578691715678,1.5030314766862711,0.14652676496400022,1.073919,0.5774170951117311,2.8870854755586555,0.001844642266295906,1.3391123840280519,1.9345089588708544
TUR.13_1,Bartın,0.1505683452590043,1.5904184968488848,0.4385405209947801,1.3156215629843404,0.2572309477372884,1.0289237909491535,0.00995253,,0.5438880989796819,2.71944049489841,0.00984057727785,3.49415221414,1.5681034365834232
TUR.14_1,Batman,0.36696915291903126,2.276580597667631,0.5147142500801785,1.5441427502405354,0.38201647837012015,1.5280659134804806,-0.013921199999999998,,0.5902001241139371,2.951000620569685,0.00269645135428169,1.6703352619672251,1.858320923435107
TUR.15_1,Bayburt,0.048158184194913654,0.029329376701512037,0.35076734834514284,1.0523020450354286,0.2359964959952924,0.9439859839811696,0.147838,1.073919,0.5115698224893971,2.557849112446985,0.009293966236503347,3.4108069257671922,1.0136852288179137
TUR.16_1,Bilecik,0.2615453482642929,1.397138112063138,0.4133494540982779,1.240048362294834,0.3717873166804439,1.4871492667217756,0.020162678676571122,1.073919,0.583361519956078,2.9168075997803897,0.005317435563508086,2.290838339497117,1.490801681474781
TUR.17_1,Bingöl,0.15717281106965814,1.106039204301708,0.6161465583716247,1.848439675114874,0.5265084427766428,2.1060337711065715,-0.007195047139967675,1.073919,0.46709195859533564,2.3354597929766783,0.0025971646486809574,1.64730899653604,1.6482910869753333
TUR.18_1,Bitlis,0.4710801723928958,3.0203701690594804,0.504800686017018,1.5144020580510538,0.38650973150170725,1.546038926006829,-0.011823792163297403,,0.49743378952976186,2.487168947648809,0.010364484456477936,2.7267402952856576,2.109796703957423
TUR.19_1,Bolu,0.12095181652630564,1.1893383497294063,0.4361394997493949,1.3084184992481847,0.3196115161383841,1.2784460645535365,-0.002974187918629192,,0.5754714526889034,2.8773572634445173,0.006351092819906378,2.693742724589385,1.4768508315827436
TUR.1_1,Adana,0.9827028421017534,4.221244922833547,0.6321977212891967,1.89659316386759,0.4308857228462215,1.723542891384886,0.09101904355787954,1.073919,0.5950244479505407,2.9751222397527037,0.003263333195041212,1.3368804548348094,2.3640852879332255
TUR.20_1,Burdur,0.8088175011202235,3.84345534783379,0.2605490502357994,0.7816471507073982,0.32538300481608523,1.301532019264341,0.07919913148998445,1.073919,0.5647185659178885,2.8235928295894426,0.0032425882116471324,1.5366408071492168,1.8884131067475485
TUR.21_1,Bursa,0.512498680175984,3.336166812929523,0.37877992391754467,1.136339771752634,0.33516649131555354,1.3406659652622144,0.11889579339284949,1.0739189999999998,0.5644645349469035,2.8223226747345174,0.006445506060633648,2.3488616483703093,1.9107320326801445
TUR.22_1,Çanakkale,0.9457885505517178,4.201650952602297,0.46994659456060195,1.4098397836818057,0.4674017815272954,1.8696071261091816,0.09713563198623544,1.073919,0.5983934752920775,2.991967376460387,0.0007622122075131401,0.6448322631617828,2.231814318074707
TUR.23_1,Çankiri,0.1687144973110297,1.3138572401015949,0.38121557220582925,1.1436467166174877,0.3379325205249313,1.3517300820997251,-0.00815924,,0.5992720995006541,2.99636049750327,0.00429130649700066,2.1489692279005257,1.4558761343342161
TUR.24_1,Çorum,0.323240835525186,2.0574634533219722,0.3995991103951972,1.1987973311855915,0.3341616322034466,1.3366465288137868,0.01642165618440801,1.073919,0.6761509822619096,3.3807549113095483,0.003654338191023903,2.1572068648993517,1.6285893143433938
TUR.25_1,Denizli,0.8454827976250049,4.020907068366602,0.31235876913885763,0.9370763074165729,0.3515180337857924,1.4060721351431695,0.07681331439077879,1.073919,0.6104176952753039,3.0520884763765195,0.0025192370525252577,1.5268042513317095,2.0114345482133507
TUR.26_1,Diyarbakir,0.44424812642126266,2.872355653680163,0.5740463144111579,1.7221389432334735,0.4048807932816966,1.6195231731267867,-0.005322676896210369,1.073919,0.6149153452942631,3.074576726471315,0.0033574043083501046,2.085473240828678,2.0102474404663555
TUR.27_1,Düzce,0.15016673201886996,1.5856269781775878,0.4384021442585829,1.3152064327757484,0.25789222438858794,1.0315688975543518,0.009952530000000001,,0.5443678615261839,2.7218393076309204,0.009806395205552237,3.4882289333135765,1.5671198196410892
TUR.28_1,Edirne,0.2589713778278877,2.091817702326961,0.3870807289361953,1.1612421868085858,0.4418887942001651,1.7675551768006603,-0.17141976772569423,,0.6615962248760814,3.307981124380407,0.0013502244716343012,0.9135213864773734,1.7359973410430436
TUR.29_1,Elazığ,0.13534630150389404,1.084587187452685,0.5158330988460349,1.5474992965381045,0.48046913395871593,1.9218765358348637,0.10649368794707004,1.0739189999999998,0.5474568089181554,2.737284044590777,0.0019329626430532759,1.3416295877358717,1.5276627319768288
